详细地址,区域,房型,户型,租金,面积(m²),登记时间,详细信息
【中央城南苑】拎包入住  包物业,龙港,套房,三室二厅二卫二阳台,31000元/年,120,[09-28],https://www.lgfdcw.com/cz/czdetail_85165.html
海华家园  2室电梯房出租  精装,龙港,套房,二室一厅一卫一阳台,17500元/年,70,[09-28],https://www.lgfdcw.com/cz/czdetail_85142.html
仪邦大厦  一室公寓出租  新豪华,龙港,套房,一室一厅一卫一阳台,26800元/年,46,[09-28],https://www.lgfdcw.com/cz/czdetail_85180.html
华电商贸城  5楼套房出租  步梯1,龙港,套房,二室二厅一卫一阳台,15000元/年,90,[09-28],https://www.lgfdcw.com/cz/czdetail_85169.html
都会森林  自住豪装出租  140平米,龙港,套房,三房二厅二卫一阳台,35800元/年,140,[09-28],https://www.lgfdcw.com/cz/czdetail_85109.html
银城花园  2楼套房出租  首次出租,龙港,套房,三房二厅二卫一阳台,22000元/年,120,[09-28],https://www.lgfdcw.com/cz/czdetail_85128.html
龙浦二街  4楼电梯房出租  装修清,龙港,套房,三房二厅二卫一阳台,24800元/年,120,[09-28],https://www.lgfdcw.com/cz/czdetail_85127.html
通港路2室套房出租  湿地公园旁,龙港,套房,二室一厅一卫一阳台,15000元/年,70,[09-28],https://www.lgfdcw.com/cz/czdetail_85164.html
外贸公寓  5楼套房出租  步梯 主,龙港,套房,一室二卫一阳台,15000元/年,120,[09-28],https://www.lgfdcw.com/cz/czdetail_85115.html
华夏公寓  3楼套餐出租  装修好,龙港,套房,三房二厅二卫一阳台,19500元/年,110,[09-28],https://www.lgfdcw.com/cz/czdetail_85139.html
【西城路】2楼 4楼 5楼 一层民改,龙港,套房,二室一厅一卫,12000元/年,60,[09-28],https://www.lgfdcw.com/cz/czdetail_85076.html
【东城路】5楼 边套  2居室 拎包,龙港,套房,二室一厅二卫,15000元/年,90,[09-28],https://www.lgfdcw.com/cz/czdetail_85147.html
中梁香缇华府  2室精装修  有单独,龙港,套房,二室二厅一卫一阳台,24000元/年,70,[09-28],https://www.lgfdcw.com/cz/czdetail_85162.html
金茂花园  2室精装修大厦出租  小,龙港,套房,二室一厅一卫一阳台,24800元/年,70,[09-28],https://www.lgfdcw.com/cz/czdetail_85160.html
宫后路613号4楼套房,龙港,套房,三室一厅二卫一阳台,16000元/年,120,[09-28],https://www.lgfdcw.com/cz/czdetail_85188.html
金茂花园  整套出租  装修清水通,龙港,套房,三房二厅二卫一阳台,28800元/年,130,[09-28],https://www.lgfdcw.com/cz/czdetail_85190.html
华夏公寓  3楼套房出租  装修清水,龙港,套房,三房二厅二卫一阳台,19800元/年,110,[09-28],https://www.lgfdcw.com/cz/czdetail_85136.html
"纺织五街103号三楼整层出租,可烧",龙港,套房,二室一卫,面议,60,[09-28],https://www.lgfdcw.com/cz/czdetail_85179.html
银海大厦8楼,龙港,套房,三室二厅二卫一阳台,30000元/年,140,[09-28],https://www.lgfdcw.com/cz/czdetail_84165.html
国发花园5楼,龙港,套房,三室一厅二卫一阳台,20000元/年,105,[09-28],https://www.lgfdcw.com/cz/czdetail_85089.html
西三街陇西路路口双桂里社区办公,龙港,套房,三室二厅二卫一阳台,15000元/年,110,[09-27],https://www.lgfdcw.com/cz/czdetail_84536.html
西城路小吃一条街西四街416号前后,龙港,店面,一室一卫,面议,0,[09-27],https://www.lgfdcw.com/cz/czdetail_84194.html
云栖园3幢,龙港,套房,三室一厅二卫二阳台,2800元/月,120,[09-27],https://www.lgfdcw.com/cz/czdetail_84862.html
龙港九小东首九小花苑2幢1单元40,龙港,套房,四室一厅二卫一阳台,面议,138,[09-27],https://www.lgfdcw.com/cz/czdetail_85189.html
河底高路4楼,龙港,套房,三房二厅二卫,20000元/年,120,[09-27],https://www.lgfdcw.com/cz/czdetail_74372.html
纺织五街4楼,龙港,套房,一室,15000元/年,110,[09-27],https://www.lgfdcw.com/cz/czdetail_74371.html
站前路3楼,龙港,套房,一室一厅一卫,7500元/年,50,[09-27],https://www.lgfdcw.com/cz/czdetail_74373.html
港河路2楼,龙港,套房,二室二厅二卫,22000元/年,120,[09-27],https://www.lgfdcw.com/cz/czdetail_74370.html
锦港嘉园12楼,龙港,套房,一室,22000元/年,45,[09-27],https://www.lgfdcw.com/cz/czdetail_74369.html
西三街3楼 拎包入住,龙港,套房,四室二厅二卫,27000元/年,140,[09-27],https://www.lgfdcw.com/cz/czdetail_74367.html
侨贸大厦2楼,龙港,套房,一室,100000元/年,250,[09-27],https://www.lgfdcw.com/cz/czdetail_74366.html
新华大楼6楼,龙港,套房,三房二厅二卫,18000元/年,140,[09-27],https://www.lgfdcw.com/cz/czdetail_74365.html
和美嘉园9楼 办公装修,龙港,套房,三房二厅二卫,40000元/年,137,[09-27],https://www.lgfdcw.com/cz/czdetail_74364.html
置信名都26楼 精装修,龙港,套房,三房二厅二卫,45000元/年,160,[09-27],https://www.lgfdcw.com/cz/czdetail_74363.html
万富小区2楼 精装修,龙港,套房,三房二厅二卫,26500元/年,120,[09-27],https://www.lgfdcw.com/cz/czdetail_74362.html
威龙商标城4楼 办公装修,龙港,套房,三房二厅二卫,16800元/年,120,[09-27],https://www.lgfdcw.com/cz/czdetail_74361.html
环城路3楼,龙港,套房,三房二厅二卫,16000元/年,120,[09-27],https://www.lgfdcw.com/cz/czdetail_74360.html
建民路3楼,龙港,套房,三房二厅二卫,26000元/年,120,[09-27],https://www.lgfdcw.com/cz/czdetail_74359.html
大道北街3楼,龙港,套房,四室二厅二卫,27000元/年,145,[09-27],https://www.lgfdcw.com/cz/czdetail_74358.html
金瓯大厦19楼,龙港,套房,三房二厅二卫,38000元/年,170,[09-27],https://www.lgfdcw.com/cz/czdetail_74357.html
公园壹号 办公装修,龙港,套房,一室,17500元/年,129,[09-27],https://www.lgfdcw.com/cz/czdetail_74356.html
锦港嘉园17楼,龙港,套房,一室一厅一卫,19000元/年,47,[09-27],https://www.lgfdcw.com/cz/czdetail_74355.html
东兴街落地房一到三楼,龙港,民房,一室,12000元/年,150,[09-27],https://www.lgfdcw.com/cz/czdetail_74354.html
柳南路4楼 中等装修,龙港,套房,三室一厅二卫,23800元/年,120,[09-27],https://www.lgfdcw.com/cz/czdetail_74353.html
龙城银座11楼,龙港,套房,三房二厅二卫,45000元/年,145,[09-27],https://www.lgfdcw.com/cz/czdetail_74321.html
仪邦公馆17楼 精装修,龙港,套房,二室一厅一卫,35000元/年,80,[09-27],https://www.lgfdcw.com/cz/czdetail_74320.html
柳南路6楼,龙港,套房,三房二厅二卫,20000元/年,110,[09-27],https://www.lgfdcw.com/cz/czdetail_74319.html
泰源锦园7楼 办公装修,龙港,套房,三房二厅二卫,28000元/年,135,[09-27],https://www.lgfdcw.com/cz/czdetail_74318.html
纺织三街3楼,龙港,套房,二室一厅一卫,15000元/年,70,[09-27],https://www.lgfdcw.com/cz/czdetail_74316.html
恒利新村2楼,龙港,套房,一室,15000元/年,90,[09-27],https://www.lgfdcw.com/cz/czdetail_74315.html
新湖绿都南苑,龙港,别墅,一室,55000元/年,260,[09-27],https://www.lgfdcw.com/cz/czdetail_74317.html
公园壹号12楼,龙港,套房,三房二厅二卫,20000元/年,119,[09-27],https://www.lgfdcw.com/cz/czdetail_74314.html
龙跃路2楼,龙港,商铺,一室,60000元/年,300,[09-27],https://www.lgfdcw.com/cz/czdetail_74313.html
新雅公寓3楼,龙港,套房,二室一厅一卫,17000元/年,70,[09-27],https://www.lgfdcw.com/cz/czdetail_74312.html
大道北街5楼,龙港,套房,三房二厅二卫,17000元/年,120,[09-27],https://www.lgfdcw.com/cz/czdetail_74311.html
龙港大道宫园楼4楼,龙港,套房,三房二厅二卫,35000元/年,120,[09-27],https://www.lgfdcw.com/cz/czdetail_74310.html
